X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-667050.711518644,4495478.81322749,4884,A2,102,18,Resolana (Feria),618,10213,10211,61
-666635.669075762,4495439.25522203,2781,C1,81,19,Parlamento de Andalucía (Macarena) [C],618,8111,8110,62
-666635.669075762,4495439.25522203,625,C3,83,19,Parlamento de Andalucía (Macarena) [C],618,8311,8310,63
-666635.669075762,4495439.25522203,1680,A7,107,19,Parlamento de Andalucía (Macarena) [C],618,10712,10710,64
-666635.669075762,4495439.25522203,1680,A7,107,19,Parlamento de Andalucía (Macarena) [C],618,10714,10711,65
-666116.746579127,4494970.98529605,4904,10,10,20,Ronda de Capuchinos (San Julián),618,1012,1010,66
-666116.746579127,4494970.98529605,3365,C1,81,20,Ronda de Capuchinos (San Julián),618,8111,8110,67
-666116.746579127,4494970.98529605,1209,C3,83,20,Ronda de Capuchinos (San Julián),618,8311,8310,68
-666116.746579127,4494970.98529605,2264,A7,107,20,Ronda de Capuchinos (San Julián),618,10712,10710,69
-666116.746579127,4494970.98529605,2264,A7,107,20,Ronda de Capuchinos (San Julián),618,10714,10711,70
-665857.869229369,4494683.93973016,3060,11,11,21,Ronda de Capuchinos (La Trinidad),618,1112,1110,71
-665857.869229369,4494683.93973016,3696,C1,81,21,Ronda de Capuchinos (La Trinidad),618,8111,8110,72
-666076.29865328,4494233.87664511,4876,01,1,22,María Auxiliadora (Puerta Osario),618,112,110,73
-666076.29865328,4494233.87664511,1454,C4,84,22,María Auxiliadora (Puerta Osario),618,8412,8410,74
-665893.433680475,4494842.16126503,1020,10,10,23,Ronda de Capuchinos (Avenida Miraflores),618,1011,1010,75
-665893.433680475,4494842.16126503,4226,C2,82,23,Ronda de Capuchinos (Avenida Miraflores),618,8212,8210,76
-665893.433680475,4494842.16126503,1992,C4,84,23,Ronda de Capuchinos (Avenida Miraflores),618,8412,8410,77
-666090.789834973,4494962.96715148,1207,10,10,24,Ronda de Capuchinos (León XIII),618,1011,1010,78
-666090.789834973,4494962.96715148,4413,C2,82,24,Ronda de Capuchinos (León XIII),618,8212,8210,79
-666090.789834973,4494962.96715148,2179,C4,84,24,Ronda de Capuchinos (León XIII),618,8412,8410,80
-666301.257076644,4495205.1176488,1468,10,10,25,Muñoz León (Sánchez Perrier),618,1011,1010,81
-666301.257076644,4495205.1176488,4674,C2,82,25,Muñoz León (Sánchez Perrier),618,8212,8210,82
-666301.257076644,4495205.1176488,2440,C4,84,25,Muñoz León (Sánchez Perrier),618,8412,8410,83
-666641.932667286,4495459.56877416,5027,C2,82,26,Parlamento de Andalucía (Macarena) [C],618,8212,8210,84
-667248.651577267,4495524.25165106,3282,C4,84,27,Resolana (Barqueta),618,8412,8410,85
-667755.949268908,4495128.14205348,2821,06,6,29,Torneo (Puerta de San Juan),618,611,610,86
-667755.949268908,4495128.14205348,3849,C4,84,29,Torneo (Puerta de San Juan),618,8412,8410,87
-667755.949268908,4495128.14205348,3985,A2,102,29,Torneo (Puerta de San Juan),618,10212,10210,88
-667755.949268908,4495128.14205348,3985,A2,102,29,Torneo (Puerta de San Juan),618,10214,10211,89
-668205.388376911,4494457.83674956,3463,06,6,30,Torneo (Baños),618,611,610,90
-668205.388376911,4494457.83674956,4491,C4,84,30,Torneo (Baños),618,8412,8410,91
